bus_stop_id;line_id;query_datetime
2100;188;2018-05-26 18:40:53
2056;213;2018-05-27 22:08:50
5100;155;2018-05-27 08:33:15
7027;111;2018-05-27 11:51:36
2148;507;2018-05-26 07:02:29
6082;157;2018-05-27 14:44:55
1003;517;2018-05-27 17:40:30
5161;171;2018-05-27 19:21:04
1152;114;2018-05-27 19:51:14
3026;522;2018-05-27 15:03:34
2098;502;2018-05-26 13:46:00
2100;525;2018-05-26 11:57:27
7095;116;2018-05-27 10:03:39
1265;705;2018-05-26 12:39:49
1152;114;2018-05-27 19:11:28
7027;175;2018-05-26 13:03:07
2259;188;2018-05-26 09:17:18
3057;141;2018-05-27 09:27:09
2190;147;2018-05-27 16:12:34
4046;191;2018-05-26 15:00:07
3065;131;2018-05-26 16:13:34
6013;103;2018-05-27 14:36:42
2070;143;2018-05-26 17:31:54
3079;162;2018-05-27 09:47:18
2100;143;2018-05-26 18:24:35
2008;145;2018-05-27 12:04:54
3025;209;2018-05-27 05:27:19
1317;511;2018-05-27 05:51:12
3026;119;2018-05-27 07:36:52
5040;109;2018-05-27 08:28:43
3247;136;2018-05-27 08:53:23
7006;514;2018-05-26 19:22:52
2008;704;2018-05-26 15:42:12
1053;517;2018-05-26 22:54:07
1034;138;2018-05-26 19:02:53
1234;112;2018-05-26 22:04:55
5011;194;2018-05-26 15:40:35
1359;527;2018-05-27 17:31:51
4005;208;2018-05-27 06:05:37
5012;716;2018-05-27 20:49:30
4130;191;2018-05-26 21:07:05
3033;522;2018-05-26 09:54:18
4272;733;2018-05-27 20:33:02
1028;169;2018-05-26 18:42:24
6644;750;2018-05-26 09:48:06
7043;105;2018-05-26 12:46:53
2090;225;2018-05-27 13:12:23
4138;717;2018-05-26 09:42:36
4096;177;2018-05-27 19:50:20
2053;146;2018-05-27 22:44:09
7027;111;2018-05-26 11:36:43
3031;522;2018-05-27 20:54:35
6817;L29;2018-05-26 08:52:32
4045;154;2018-05-27 14:36:32
3009;218;2018-05-26 11:51:28
6100;110;2018-05-27 14:31:20
3003;195;2018-05-26 09:06:19
1146;120;2018-05-26 08:27:58
7026;503;2018-05-27 18:02:31
2102;520;2018-05-27 14:12:20
1060;738;2018-05-26 22:30:02
3243;218;2018-05-26 19:12:22
7036;138;2018-05-27 10:03:09
4051;191;2018-05-26 17:10:38
7041;117;2018-05-27 06:23:01
7076;151;2018-05-27 20:20:08
5019;109;2018-05-27 12:27:19
4099;191;2018-05-27 08:25:43
2011;183;2018-05-27 11:15:02
7006;118;2018-05-26 12:53:21
5106;184;2018-05-27 05:42:20
6020;116;2018-05-26 23:46:50
1159;118;2018-05-26 13:21:09
4130;191;2018-05-27 22:32:06
7037;138;2018-05-27 20:40:38
6059;150;2018-05-26 23:15:06
4228;187;2018-05-27 06:09:36
2137;158;2018-05-27 18:05:26
3026;501;2018-05-27 16:28:28
6166;719;2018-05-27 08:18:56
1056;120;2018-05-26 15:26:56
7002;160;2018-05-27 11:58:43
6005;735;2018-05-26 09:34:25
3030;116;2018-05-26 09:18:26
3155;164;2018-05-27 16:53:29
6134;205;2018-05-26 14:47:48
5031;171;2018-05-27 21:50:54
5035;154;2018-05-26 20:13:45
3037;108;2018-05-26 21:23:40
1281;132;2018-05-27 23:34:15
1146;120;2018-05-26 08:20:23
6155;122;2018-05-26 14:51:13
3202;166;2018-05-27 18:22:20
1162;114;2018-05-27 16:00:59
2101;520;2018-05-26 16:55:48
6129;122;2018-05-26 19:49:53
4029;187;2018-05-27 07:53:43
4217;187;2018-05-27 22:54:00
4007;154;2018-05-27 20:32:42
1208;731;2018-05-26 10:31:56
